;pt;standard_pt
1;evan's syndrome;evans syndrome
2;hypothalamo-pituitary disorders;hypothalamo-pituitary disorder
3;superior vena caval occlusion;superior vena cava occlusion
4;meningeomas surgery;meningioma surgery
5;disbacteriosis;dysbiosis
6;gastro-jejunostomy;gastroenterostomy
7;methicillin-resistant staphylococcal aureus test positive;staphylococcus test positive
8;methicillin-resistant staphylococcal aureus test;staphylococcus test
9;streptococcal identification test;streptococcus test
10;aeromona infection;aeromonas infection
11;follicle-stimulating hormone deficiency;follicle stimulating hormone deficiency
12;acid reflux;gastrooesophageal reflux disease
13;helicobacter pylori prophylaxis;helicobacter infection
14;total knee arthroplasty;knee arthroplasty
15;irregular heartbeat;heart rate irregular
16;pah;pulmonary arterial hypertension
17;atrial filbrillation;atrial fibrillation
18;gbm;glioblastoma multiforme
19;cardiac cath;catheterisation cardiac
20;llt;NA
21;osteoporisis;osteoporosis
22;skin and soft tissue infection;skin bacterial infection
23;stage iv non-small cell;non-small cell lung cancer stage iv
24;exudative senile macular degenerative of retina;neovascular age-related macular degeneration
25;autioimmune induced rash;systemic lupus erythematosus rash
26;metastatic cholangiocarcinoma;cholangiocarcinoma
27;oseoporosis;osteoporosis
28;cardic disorder;cardiac disorder
29;h1ni influenza;h1n1 influenza
30;stroke prevention;thrombosis prophylaxis
31;thyroid condition;thyroid disorder
32;lennox--gastaut syndrome;lennox-gastaut syndrome
33;acute ischemic stroke;ischaemic stroke
34;necrotizing pneumonia;pneumonia necrotising
35;drug use fo runknown indication;product used for unknown indication
36;drug induced liver injury;drug-induced liver injury
37;product used for unknown indcation;product used for unknown indication
38;general anxiety disorder;generalised anxiety disorder
39;panic disorder/ depression;panic disorder
40;chemotherapy/rectosigmoid cancer;rectosigmoid cancer
41;coronary artery disease/hypertension;coronary artery disease
42;infective endocarditis;endocarditis bacterial
43;hypothyroid;hypothyroidism
44;infected mole;infected naevus
45;reactive airway disease;bronchial hyperreactivity
46;methicillin-resistant staphylococcal aureus infection;staphylococcal infection
47;sunburn prophylaxis;sunburn
48;inhalation;NA
49;drug known for unknown indication;product used for unknown indication
50;drug use;product use issue
51;lumbar spondylosis with scoliosis and arthritis;spinal osteoarthritis
52;coronary stent insertion;coronary arterial stent insertion
53;intractable spasticity;muscle spasticity
54;blodd pressure;blood pressure measurement
55;thyroid hormone replacement;thyroid hormone replacement therapy
56;inflamation;inflammation
57;seizure disorder;epilepsy
58;pulmonary artery hypertension;pulmonary arterial hypertension
59;depression nec;depression
60;heavy bleeding;haemorrhage
61;artrial fibrillation;atrial fibrillation
62;b lymphoblastic leukemia;b precursor type acute leukaemia
63;crohns disease;crohn's disease
64;headache/prophylaxis;headache
65;inr increaesd;international normalised ratio increased
66;type ii diabetes;type 2 diabetes mellitus
67;spinal lumbar disorder;spinal disorder
68;coroary artery stent placement;coronary arterial stent insertion
69;depresiion;depression
70;drug;NA
71;drug used for unknown indication;product used for unknown indication
72;regulate heart rate;heart rate abnormal
73;schizoprenia;schizophrenia
74;drug use unknown indication;product used for unknown indication
75;headaches;headache
76;chronic nerve pain;neuralgia
77;bacterial pneumonia;pneumonia bacterial
78;depresson;depression
79;smoking cessation;smoking cessation therapy
80;stage iv rectal adenocarcinoma;rectal adenocarcinoma
81;siezure;seizure
82;complex partial epilepsy;partial seizures
83;osteomylitis;osteomyelitis
84;ptsd;post-traumatic stress disorder
85;bipolar disorder ii;bipolar ii disorder
86;methicillin-resistant staphylococcal aureus sepsis;staphylococcal sepsis
87;intervertebral diskitis;intervertebral discitis
88;huntingtons disease;huntington's disease
89;streptococcal identification test positive;streptococcus test positive
90;streptococcal serology positive;streptococcus test positive
91;parovarian cyst;adnexa uteri cyst
92;superior vena caval stenosis;superior vena cava stenosis
93;staphylococcal identification test positive;staphylococcus test positive
94;capnocytophagia infection;capnocytophaga infection
95;gastro-intestinal fistula;gastrointestinal fistula
96;ano-rectal stenosis;anorectal stenosis
97;eagles syndrome;eagle's syndrome
98;frontal sinus operations;frontal sinus operation
99;streptococcal serology;streptococcus test
100;methicillin-resistant staphylococcal aureus test negative;staphylococcus test negative
101;ano-rectal ulcer;anorectal ulcer
102;blastic plasmacytoid dendritric cell neoplasia;blastic plasmacytoid dendritic cell neoplasia
103;cornelia de-lange syndrome;cornelia de lange syndrome
104;gastro-enterostomy;gastroenterostomy
105;glycopeptide antibiotic resistant staphylococcal aureus infection;staphylococcal infection
106;maxillary antrum operations;maxillary antrum operation
107;sphenoid sinus operations;sphenoid sinus operation
108;staphylococcal identification test negative;staphylococcus test negative
109;her-2 positive breast cancer;her2 positive breast cancer
110;her-2 positive gastric cancer;her2 positive gastric cancer
111;her-2 protein overexpression;her2 protein overexpression
112;hepatobilliary disorder prophylaxis;hepatobiliary disorder prophylaxis
113;crohn^s disease;crohn's disease
114;parkinson^s disease;parkinson's disease
115;raynaud^s phenomenon;raynaud's phenomenon
116;bowen^s disease;bowen's disease
117;cushing^s syndrome;cushing's syndrome
118;behcet^s syndrome;behcet's syndrome
119;basedow^s disease;basedow's disease
120;sjogren^s syndrome;sjogren's syndrome
121;tourette^s disorder;tourette's disorder
122;barrett^s oesophagus;barrett's oesophagus
123;hoigne^s syndrome;hoigne's syndrome
124;dementia alzheimer^s type;dementia alzheimer's type
125;non-hodgkin^s lymphoma;non-hodgkin's lymphoma
126;wernicke^s encephalopathy;wernicke's encephalopathy
127;fournier^s gangrene;fournier's gangrene
128;meniere^s disease;meniere's disease
129;meige^s syndrome;meige's syndrome
130;horner^s syndrome;horner's syndrome
